DateTime,Entries,UniqueIPs
1531133111,6915,6915
1531134010,7075,7075
1531134910,7480,7480
1531135810,7591,7591
1531136710,7665,7665
1531137610,7706,7706
1531138510,7757,7757
1531139409,7813,7813
1531140310,7897,7897
1531141210,8115,8115
1531142110,8297,8297
1531143008,8508,8508
1531143908,8755,8755
1531144808,8862,8862
1531145708,8950,8950
1531146608,9005,9005
1531147508,9059,9059
1531148408,9137,9137
1531149308,9335,9335
1531150208,9581,9581
1531151108,9823,9823
1531152008,9895,9895
1531152906,9896,9896
1531153808,9829,9829
1531154707,9753,9753
1531155607,9659,9659
1531156506,9631,9631
1531157405,9583,9583
1531158306,9961,9961
1531159206,10618,10618
1531160105,11996,11996
1531161006,12598,12598
1531161906,13256,13256
1531162805,13673,13673
1531163705,13900,13900
1531164605,14083,14083
1531165505,14471,14471
1531166404,14762,14762
1531167304,15150,15150
1531168205,15561,15561
1531169105,16188,16188
1531170005,16794,16794
1531170904,17424,17424
1531171804,17786,17786
1531172705,18125,18125
1531173606,18249,18249
1531174504,18566,18566
1531175404,19002,19002
1531176303,19441,19441
1531177204,19583,19583
1531178103,19597,19597
1531179003,19504,19504
1531179903,19767,19767
1531180803,20409,20409
1531181704,21087,21087
1531182604,21370,21370
1531183504,20886,20886
1531184404,20385,20385
1531185304,19971,19971
1531186203,19463,19463
1531187104,19307,19307
1531188004,19261,19261
1531188904,18948,18948
1531189804,18068,18068
1531190704,17792,17792
1531191604,17587,17587
1531192505,17337,17337
1531193404,16883,16883
1531194304,16635,16635
1531195204,16517,16517
1531196104,16534,16534
1531197004,16605,16605
1531197904,16848,16848
1531198805,17110,17110
1531199705,17267,17267
1531200605,17467,17467
1531201506,17526,17526
1531202406,17612,17612
1531203305,17745,17745
1531204205,17838,17838
1531205105,17685,17685
1531206005,17350,17350
1531206907,16959,16959
1531207805,16589,16589
1531208705,16366,16366
1531209606,16672,16672
1531210505,16797,16797
1531211406,16531,16531
1531212306,16396,16396
1531213206,16201,16201
1531214106,15850,15850
1531215006,15591,15591
1531215906,14932,14932
1531216807,14369,14369
1531217707,14017,14017
1531218607,13638,13638
1531219507,12708,12708
1531220408,12006,12006
1531221307,12077,12077
1531222207,11861,11861
1531223106,11657,11657
1531224007,11347,11347
1531224906,10895,10895
1531225806,10392,10392
1531226706,9823,9823
1531227606,9387,9387
1531228508,9096,9096
1531229408,8899,8899
1531230306,8858,8858
1531231207,9170,9170
1531232107,8924,8924
1531233007,9049,9049
1531233907,8667,8667
1531234807,8467,8467
1531235707,8314,8314
1531236607,8403,8403
1531237507,8542,8542
1531238408,8582,8582
1531239308,8489,8489
1531240208,7630,7630
1531241108,7560,7560
1531242009,7347,7347
1531242908,6949,6949
1531243810,6437,6437
1531244708,5984,5984
1531245609,5922,5922
1531246508,5963,5963
1531247409,6226,6226
1531248309,6350,6350
1531249210,6654,6654
1531250109,6889,6889
1531251009,7217,7217
1531251909,7456,7456
1531252809,7782,7782
1531253708,8095,8095
1531254608,8484,8484
1531255509,8993,8993
1531256409,9480,9480
1531257308,9982,9982
1531258209,10444,10444
1531259108,10998,10998
1531260009,11450,11450
1531260908,11932,11932
1531261809,12371,12371
1531262709,12827,12827
1531263609,13337,13337
1531264509,13730,13730
1531265409,14168,14168
1531266308,14438,14438
1531267208,14805,14805
1531268109,15179,15179
1531269009,15433,15433
1531269909,15679,15679
1531270808,16016,16016
1531271709,16388,16388
1531272608,16718,16718
1531273508,17306,17306
1531274408,17764,17764
1531275308,18158,18158
1531276209,18504,18504
1531277107,18942,18942
1531278008,19370,19370
1531278908,19711,19711
1531279807,19962,19962
1531280708,20314,20314
1531281607,20602,20602
1531282507,20759,20759
1531283407,21286,21286
1531284306,21537,21537
1531285206,21741,21741
1531286105,21709,21709
1531287005,21800,21800
1531287906,20982,20982
1531288806,19826,19826
1531289705,18752,18752
1531290605,18435,18435
1531291505,17886,17886
1531292405,17873,17873
1531293306,17079,17079
1531294205,16024,16024
1531295105,13909,13909
1531296005,13220,13220
1531296906,12882,12882
1531297805,12206,12206
1531298705,11443,11443
1531299606,11537,11537
1531300506,11550,11550
1531301405,11414,11414
1531302305,11676,11676
1531303206,11903,11903
1531304106,12424,12424
1531305005,12983,12983
1531305906,13048,13048
1531306806,13296,13296
1531307706,13329,13329
1531308606,13080,13080
1531309505,12677,12677
1531310406,12731,12731
1531311306,13047,13047
1531312206,12985,12985
1531313107,12389,12389
1531314006,11507,11507
1531314906,10480,10480
1531315807,8700,8700
1531316707,8645,8645
1531317607,8385,8385
1531318507,8342,8342
1531319407,7836,7836
1531320308,6040,6040
1531321208,5930,5930
1531322109,5087,5087
1531323008,4199,4199
1531323910,4204,4204
1531324809,4643,4643
1531325710,3856,3856
1531326612,4208,4208
1531327510,3971,3971
1531328410,4079,4079
1531329311,3622,3622
1531330211,3478,3478
1531331111,3695,3695
1531332010,3515,3515
1531332912,3840,3840
1531333811,4009,4009
1531334711,4201,4201
1531335610,4618,4618
1531336512,4939,4939
1531337411,5298,5298
1531338312,5436,5436
1531339211,5354,5354
1531340111,5590,5590
1531341012,5764,5764
1531341912,4974,4974
1531342812,4616,4616
1531343714,3693,3693
1531344613,3581,3581
1531345512,3338,3338
1531346412,3229,3229
1531347312,3710,3710
1531348213,3595,3595
1531349112,3750,3750
1531350013,4093,4093
1531350914,4359,4359
1531351813,4580,4580
1531352714,4622,4622
1531353613,4500,4500
1531354513,4532,4532
1531355412,4541,4541
1531356313,4983,4983
1531357214,5331,5331
1531358113,5129,5129
1531359013,5106,5106
1531359913,4997,4997
1531360813,5152,5152
1531361744,5186,5186
1531362614,4750,4750
1531363515,4067,4067
1531364414,4177,4177
1531365314,3481,3481
1531366216,3374,3374
1531367114,3510,3510
1531368014,3926,3926
1531368914,4617,4617
1531369813,4814,4814
1531370714,5404,5404
1531371612,5930,5930
1531372513,5814,5814
1531373415,5731,5731
1531374313,6163,6163
1531375213,5794,5794
1531376113,5090,5090
1531377013,4349,4349
1531377913,4513,4513
1531378814,4570,4570
1531379712,4907,4907
1531380614,5241,5241
1531381513,5336,5336
1531382414,5224,5224
1531383312,5149,5149
1531384213,5560,5560
1531385114,4717,4717
1531386014,5075,5075
1531386913,5451,5451
1531387812,5807,5807
1531388713,6295,6295
1531389613,6829,6829
1531390512,7384,7384
1531391411,7747,7747
1531392311,8359,8359
1531393211,8978,8978
1531394112,9628,9628
1531395011,10206,10206
1531395911,9469,9469
1531396812,9786,9786
1531397711,10473,10473
1531398610,11138,11138
1531399511,11750,11750
1531400411,12336,12336
1531401312,12440,12440
1531402213,6105,6105
1531403112,6772,6772
1531404011,7455,7455
1531404912,8162,8162
1531405811,8914,8914
1531406711,9502,9502
1531407611,10125,10125
1531408511,10609,10609
1531409410,11188,11188
1531410312,11924,11924
1531411211,12606,12606
1531412110,13323,13323
1531413010,14127,14127
1531413910,14782,14782
1531414810,14851,14851
1531415710,14779,14779
1531416610,14737,14737
1531417509,14687,14687
1531418411,14693,14693
1531419309,14891,14891
1531420210,15828,15828
1531421109,16622,16622
1531422010,17338,17338
1531422908,18130,18130
1531423807,18904,18904
1531424708,19593,19593
1531425609,20148,20148
1531426509,20669,20669
1531427407,21264,21264
1531428308,21904,21904
1531429208,22594,22594
1531430107,22609,22609
1531431007,22831,22831
1531431906,23007,23007
1531432808,23331,23331
1531434606,23453,23453
1531435506,23410,23410
1531436406,23529,23529
1531437306,23695,23695
1531438207,23981,23981
1531439106,24142,24142
1531440007,24129,24129
1531440905,24193,24193
1531441805,24056,24056
1531442705,24239,24239
1531443606,24298,24298
1531444506,24476,24476
1531445407,24598,24598
1531446305,24803,24803
1531447205,24949,24949
1531448105,25061,25061
1531449005,25096,25096
1531449905,25111,25111
1531450804,25049,25049
1531451705,24769,24769
1531452604,24585,24585
1531453504,24234,24234
1531454405,21307,21307
1531455306,18290,18290
1531456205,17957,17957
1531457106,11495,11495
1531458007,7384,7384
1531458907,5093,5093
1531459807,6086,6086
1531460707,7046,7046
1531461607,7166,7166
1531462507,7111,7111
1531463408,7425,7425
1531464308,7214,7214
1531465208,4426,4426
1531466108,4599,4599
1531467008,4202,4202
1531467910,4234,4234
1531468810,4180,4180
1531469710,4571,4571
1531470609,4883,4883
1531471510,5433,5433
1531472410,5582,5582
1531473311,6075,6075
1531474212,6887,6887
1531475111,6822,6822
1531476011,6867,6867
1531476911,5935,5935
