DateTime,Entries,UniqueIPs
1530938537,6101,6101
1530939384,6117,6117
1530940521,6106,6106
1530942060,6093,6093
1530942986,6113,6113
1530944129,6091,6091
1530944903,6104,6104
1530945740,6066,6066
1530947658,6066,6066
1530948499,6093,6093
1530950117,6032,6032
1530951318,6016,6016
1530952096,6044,6044
1530953778,6032,6032
1530955699,5921,5921
1530957379,5941,5941
1530958456,6007,6007
1530959297,6034,6034
1530960144,5984,5984
1530961515,5994,5994
1530963740,5983,5983
1530965428,5989,5989
1530966620,5974,5974
1530967346,5989,5989
1530969263,5964,5964
1530971120,5945,5945
1530972857,5970,5970
1530973695,5994,5994
1530974537,5964,5964
1530975375,5979,5979
1530976462,5972,5972
1530978321,5967,5967
1530979448,5961,5961
1530980054,5966,5966
1530980895,5978,5978
1530983114,5974,5974
1530984533,6008,6008
1530985340,5963,5963
1530986481,5956,5956
1530987626,5970,5970
1530988849,5942,5942
1530990857,5953,5953
1530992117,5950,5950
1530994457,6036,6036
1530995599,6041,6041
1530996924,6098,6098
1530998061,6086,6086
1530999736,6096,6096
1531001671,6130,6130
1531002497,6143,6143
1531003338,6140,6140
1531005261,6171,6171
1531008619,6167,6167
1531010537,6162,6162
1531011381,6172,6172
1531013304,6164,6164
1531014626,6154,6154
1531015829,6136,6136
1531017739,6157,6157
1531019656,6169,6169
1531020506,6185,6185
1531022183,6179,6179
1531023255,6145,6145
1531024941,6142,6142
1531026055,6128,6128
1531027232,6153,6153
1531027697,6165,6165
1531029021,6167,6167
1531030458,6149,6149
1531031718,6150,6150
1531033522,6134,6134
1531034057,6142,6142
1531034899,6158,6158
1531036130,6155,6155
1531037657,6186,6186
1531039226,6167,6167
1531040725,6147,6147
1531042935,6152,6152
1531043776,6162,6162
1531045697,6178,6178
1531047316,6182,6182
1531048516,6178,6178
1531050053,6142,6142
1531051822,6181,6181
1531053737,6139,6139
1531055656,6118,6118
1531057337,6104,6104
1531058986,6090,6090
1531060222,6058,6058
1531060936,6063,6063
1531062859,6091,6091
1531064533,6081,6081
1531065868,6066,6066
1531067295,6086,6086
1531068621,6062,6062
1531068975,6070,6070
1531070055,6067,6067
1531071738,5968,5968
1531073658,5972,5972
1531074900,5941,5941
1531076545,5932,5932
1531078101,5957,5957
1531078937,5938,5938
1531080862,5943,5943
1531082539,5923,5923
1531084468,5927,5927
1531086057,5901,5901
1531086986,5919,5919
1531088119,5903,5903
1531089320,5889,5889
1531091112,5887,5887
1531092497,5912,5912
1531093345,5907,5907
1531094178,5920,5920
1531095263,5899,5899
1531096937,5875,5875
1531097779,5881,5881
1531098921,5851,5851
1531099697,5866,5866
1531100539,5826,5826
1531102467,5815,5815
1531103299,5823,5823
1531104513,5791,5791
1531106066,5805,5805
1531107662,5779,5779
1531108580,5795,5795
1531109724,5798,5798
1531110498,5820,5820
1531111342,5788,5788
1531112182,5801,5801
1531113258,5789,5789
1531114401,5778,5778
1531116618,5784,5784
1531117823,5758,5758
1531119194,5747,5747
1531120526,5747,5747
1531122138,5731,5731
1531124058,5724,5724
1531125356,5736,5736
1531126583,5742,5742
1531127668,5707,5707
1531128802,5653,5653
1531130826,5671,5671
1531132222,5648,5648
1531133788,5677,5677
1531134925,5693,5693
1531135696,5744,5744
1531137385,5726,5726
1531138525,5719,5719
1531139702,5710,5710
1531141517,5685,5685
1531142904,5702,5702
1531144112,5636,5636
1531145428,5626,5626
1531147336,5613,5613
1531148564,5598,5598
1531150247,5616,5616
1531152408,5614,5614
1531152858,5620,5620
1531154541,5590,5590
1531156823,5602,5602
1531158136,5598,5598
1531159467,5590,5590
1531160635,5620,5620
1531161739,5601,5601
1531163660,5580,5580
1531165074,5579,5579
1531166179,5578,5578
1531167321,5557,5557
1531168938,5601,5601
1531169778,5637,5637
1531170922,5645,5645
1531172118,5647,5647
1531173939,5664,5664
1531175828,5679,5679
1531177524,5702,5702
1531178667,5711,5711
1531179741,5706,5706
1531181417,5718,5718
1531182918,5712,5712
1531184358,5695,5695
1531185262,5707,5707
1531186944,5680,5680
1531188624,5654,5654
1531189700,5670,5670
1531191295,5635,5635
1531192523,5638,5638
1531194028,5650,5650
1531195824,5643,5643
1531196903,5654,5654
1531198586,5641,5641
1531199721,5633,5633
1531200497,5645,5645
1531202117,5629,5629
1531203316,5631,5631
1531204937,5606,5606
1531206058,5557,5557
1531207701,5616,5616
1531209204,5604,5604
1531210516,5579,5579
1531211719,5555,5555
1531212917,5576,5576
1531214021,5557,5557
1531215735,5527,5527
1531217423,5544,5544
1531218630,5595,5595
1531220177,5647,5647
1531221312,5638,5638
1531222102,5663,5663
1531222951,5655,5655
1531223784,5680,5680
1531224864,5677,5677
1531226337,5687,5687
1531228456,5713,5713
1531229629,5715,5715
1531230983,5736,5736
1531232125,5732,5732
1531232896,5743,5743
1531234218,5726,5726
1531234854,5717,5717
1531235656,5741,5741
1531236761,5735,5735
1531238176,5777,5777
1531239322,5767,5767
1531240934,5782,5782
1531242322,5777,5777
1531243697,5799,5799
1531244536,5769,5769
1531246456,5793,5793
1531247298,5820,5820
1531248978,5828,5828
1531250055,5816,5816
1531250895,5832,5832
1531251738,5798,5798
1531252582,5810,5810
1531253660,5810,5810
1531254783,5759,5759
1531255336,5747,5747
1531256176,5761,5761
1531257258,5784,5784
1531258100,5799,5799
1531258939,5780,5780
1531260629,5796,5796
1531261831,5769,5769
1531263385,5803,5803
1531264520,5783,5783
1531267048,5808,5808
1531268420,5807,5807
1531270576,5810,5810
1531271714,5810,5810
1531273336,5803,5803
1531275267,5784,5784
1531277125,5820,5820
1531278328,5799,5799
1531280541,5800,5800
1531282226,5816,5816
1531283304,5835,5835
1531284135,5811,5811
1531286058,5836,5836
1531287739,5823,5823
1531289657,5834,5834
1531290499,5850,5850
1531291820,5842,5842
1531293257,5859,5859
1531294935,5827,5827
1531296111,5805,5805
1531297695,5830,5830
1531299022,5813,5813
1531300221,5802,5802
1531301423,5787,5787
1531302977,5829,5829
1531304057,5823,5823
1531305651,5744,5744
1531307657,5757,5757
1531308494,5770,5770
1531309336,5739,5739
1531311256,5767,5767
1531312936,5782,5782
1531313775,5795,5795
1531314916,5785,5785
1531316537,5781,5781
1531317385,5796,5796
1531318520,5795,5795
1531319297,5799,5799
1531320615,5771,5771
1531321824,5773,5773
1531322994,5792,5792
1531323737,5810,5810
1531324578,5836,5836
1531325655,5807,5807
1531327336,5813,5813
1531328177,5828,5828
1531329321,5824,5824
1531330935,5810,5810
1531332855,5807,5807
1531333694,5831,5831
1531335022,5810,5810
1531336222,5818,5818
1531337303,5844,5844
1531338977,5793,5793
1531340900,5795,5795
1531342577,5761,5761
1531343725,5777,5777
1531344498,5787,5787
1531345817,5745,5745
1531347030,5748,5748
1531348097,5766,5766
1531349720,5741,5741
1531350921,5743,5743
1531352535,5757,5757
1531354462,5776,5776
1531355301,5787,5787
1531356919,5784,5784
1531358060,5773,5773
1531360608,5798,5798
1531361668,5784,5784
1531362498,5795,5795
1531363356,5746,5746
1531364178,5753,5753
1531365627,5748,5748
1531366860,5728,5728
1531368059,5739,5739
1531368854,5747,5747
1531370450,5733,5733
1531372456,5750,5750
1531374020,5743,5743
1531375825,5734,5734
1531377023,5651,5651
1531378518,5655,5655
1531380497,5685,5685
1531382174,5659,5659
1531383254,5631,5631
1531384371,5607,5607
1531384935,5624,5624
1531385775,5640,5640
1531386858,5637,5637
1531388540,5555,5555
1531389378,5562,5562
1531390461,5578,5578
1531391637,5549,5549
1531394059,5547,5547
1531395922,5547,5547
1531397656,5594,5594
1531398495,5608,5608
1531400176,5613,5613
1531401259,5616,5616
1531402944,5601,5601
1531403777,5614,5614
1531404917,5591,5591
1531405698,5611,5611
1531407914,5547,5547
1531409295,5559,5559
1531410135,5559,5559
1531410975,5589,5589
1531412117,5574,5574
1531413744,5572,5572
1531414574,5588,5588
1531415656,5592,5592
1531416927,5590,5590
1531418792,5550,5550
1531419254,5562,5562
1531420938,5563,5563
1531422320,5554,5554
1531423824,5542,5542
1531425320,5538,5538
1531427294,5541,5541
1531428144,5494,5494
1531428982,5517,5517
1531430125,5512,5512
1531431736,5474,5474
1531434022,5505,5505
1531435252,5459,5459
1531437257,5458,5458
1531438936,5472,5472
1531440864,5467,5467
1531441695,5476,5476
1531442536,5450,5450
1531443383,5454,5454
1531444527,5448,5448
1531446136,5411,5411
1531448060,5427,5427
1531449748,5387,5387
1531451658,5373,5373
1531452918,5354,5354
1531454123,5372,5372
1531455259,5369,5369
1531456100,5381,5381
1531456937,5354,5354
1531458118,5345,5345
1531459695,5388,5388
1531461381,5364,5364
1531463296,5363,5363
1531464137,5349,5349
1531464978,5361,5361
1531466116,5351,5351
1531466895,5361,5361
1531469657,5323,5323
1531470496,5341,5341
1531471336,5301,5301
1531473257,5287,5287
1531475213,5179,5179
1531476860,5181,5181
